"department","division"
"Clothing","Home"
"Grocery","Home"
"Decor","Home"
"Furniture","Home"
"Computers","Electronics"
"Device Repair","Electronics"
"Phones & Tablets","Electronics"
"Garden","Outdoors"
"Camping & Fishing","Outdoors"
"Sports","Outdoors"
"Children Clothing","Kids"
"Toys","Kids"
"Vitamins","Health"
"Pharmacy","Health"
"First Aid","Health"
"Automotive","Hardware"
"Tools","Hardware"
"Jewelry","Fashion"
"Beauty","Fashion"
"Cosmetics","Fashion"
"Books","Entertainment"
"Games","Entertainment"
"Music","Entertainment"
"Movies","Entertainment"
